Season,Episode,Title
11,1,"Beyond Blunderdome"
11,2,"Brother's Little Helper"
11,3,"Guess Who's Coming to Criticize Dinner?"
11,4,"Treehouse of Horror X"
11,5,"E-I-E-I-(Annoyed Grunt)"
11,6,"Hello Gutter, Hello Fadder"
11,7,"Eight Misbehavin'"
11,8,"Take My Wife, Sleaze"
11,9,"Grift of the Magi"
11,10,"Little Big Mom"
11,11,"Faith Off"
11,12,"The Mansion Family"
11,13,"Saddlesore Galactica"
11,14,"Alone Again, Natura-Diddily"
11,15,"Missionary: Impossible"
11,16,"Pygmoelian"
11,17,"Bart to the Future"
11,18,"Days of Wine and D'oh'ses"
11,19,"Kill the Alligator and Run"
11,20,"Last Tap Dance in Springfield"
11,21,"It's a Mad, Mad, Mad, Mad Marge"
11,22,"Behind the Laughter"
12,1,"Treehouse of Horror XI"
12,2,"A Tale of Two Springfields"
12,3,"Insane Clown Poppy"
12,4,"Lisa the Tree Hugger"
12,5,"Homer vs. Dignity"
12,6,"The Computer Wore Menace Shoes"
12,7,"The Great Money Caper"
12,8,"Skinner's Sense of Snow"
12,9,"HOMR"
12,10,"Pokey Mom"
12,11,"Worst Episode Ever"
12,12,"Tennis the Menace"
12,13,"Day of the Jackanapes"
12,14,"New Kids on the Blecch"
12,15,"Hungry, Hungry Homer"
12,16,"Bye Bye Nerdie"
12,17,"Simpson Safari"
12,18,"Trilogy of Error"
12,19,"I'm Goin' to Praiseland"
12,20,"Children of a Lesser Clod"
12,21,"Simpsons Tall Tales"
13,1,"Treehouse of Horror XII"
13,2,"The Parent Rap"
13,3,"Homer the Moe"
13,4,"A Hunka Hunka Burns in Love"
13,5,"The Blunder Years"
13,6,"She of Little Faith"
13,7,"Brawl in the Family"
13,8,"Sweets and Sour Marge"
13,9,"Jaws Wired Shut"
13,10,"Half-Decent Proposal"
13,11,"The Bart Wants What It Wants"
13,12,"The Lastest Gun in the West"
13,13,"The Old Man and the Key"
13,14,"Tales from the Public Domain"
13,15,"Blame It on Lisa"
13,16,"Weekend at Burnsie's"
13,17,"Gump Roast"
13,18,"I Am Furious (Yellow)"
13,19,"The Sweetest Apu"
13,20,"Little Girl in the Big Ten"
13,21,"The Frying Game"
13,22,"Poppa's Got a Brand New Badge"
14,1,"Treehouse of Horror XIII"
14,2,"How I Spent My Strummer Vacation"
14,3,"Bart vs. Lisa vs. the Third Grade"
14,4,"Large Marge"
14,5,"Helter Shelter"
14,6,"The Great Louse Detective"
14,7,"Special Edna"
14,8,"The Dad Who Knew Too Little"
14,9,"The Strong Arms of the Ma"
14,10,"Pray Anything"
14,11,"Barting Over"
14,12,"I'm Spelling as Fast as I Can"
14,13,"A Star Is Born Again"
14,14,"Mr. Spritz Goes to Washington"
14,15,"C.E.D'oh"
14,16,"'Scuse Me While I Miss the Sky"
14,17,"Three Gays of the Condo"
14,18,"Dude, Where's My Ranch?"
14,19,"Old Yeller-Belly"
14,20,"Brake My Wife, Please"
14,21,"The Bart of War"
14,22,"Moe Baby Blues"
15,1,"Treehouse of Horror XIV"
15,2,"My Mother the Carjacker"
15,3,"The President Wore Pearls"
15,4,"The Regina Monologues"
15,5,"The Fat and the Furriest"
15,6,"Today I Am a Clown"
15,7,"'Tis the Fifteenth Season"
15,8,"Marge vs. Singles, Seniors, Childless Couples and Teens, and Gays"
15,9,"I, (Annoyed Grunt)-Bot"
15,10,"Diatribe of a Mad Housewife"
15,11,"Margical History Tour"
15,12,"Milhouse Doesn't Live Here Anymore"
15,13,"Smart & Smarter"
15,14,"The Ziff Who Came to Dinner"
15,15,"Co-Dependents' Day"
15,16,"The Wandering Juvie"
15,17,"My Big Fat Geek Wedding"
15,18,"Catch 'em if You Can"
15,19,"Simple Simpson"
15,20,"The Way We Weren't"
15,21,"Bart-Mangled Banner"
15,22,"Fraudcast News"
16,1,"Treehouse of Horror XV"
16,2,"All's Fair in Oven War"
16,3,"Sleeping with the Enemy"
16,4,"She Used to Be My Girl"
16,5,"Fat Man and Little Boy"
16,6,"Midnight Rx"
16,7,"Mommie Beerest"
16,8,"Homer and Ned's Hail Mary Pass"
16,9,"Pranksta Rap"
16,10,"There's Something About Marrying"
16,11,"On a Clear Day I Can't See My Sister"
16,12,"Goo Goo Gai Pan"
16,13,"Mobile Homer"
16,14,"The Seven-Beer Snitch"
16,15,"Future-Drama"
16,16,"Don't Fear the Roofer"
16,17,"The Heartbroke Kid"
16,18,"A Star Is Torn"
16,19,"Thank God, It's Doomsday"
16,20,"Home Away from Homer"
16,21,"The Father, the Son, and the Holy Guest Star"
17,1,"The Bonfire of the Manatees"
17,2,"The Girl Who Slept Too Little"
17,3,"Milhouse of Sand and Fog"
17,4,"Treehouse of Horror XVI"
17,5,"Marge's Son Poisoning"
17,6,"See Homer Run"
17,7,"The Last of the Red Hat Mamas"
17,8,"The Italian Bob"
17,9,"Simpsons Christmas Stories"
