Season,Episode,Title
1,1,"Simpsons Roasting on an Open Fire"
1,2,"Bart the Genius"
1,3,"Homer's Odyssey"
1,4,"There's No Disgrace Like Home"
1,5,"Bart the General"
1,6,"Moaning Lisa"
1,7,"The Call of the Simpsons"
1,8,"The Telltale Head"
1,9,"Life on the Fast Lane"
1,10,"Homer's Night Out"
1,11,"The Crepes of Wrath"
1,12,"Krusty Gets Busted"
1,13,"Some Enchanted Evening"
2,1,"Bart Gets an 'F'"
2,2,"Simpson and Delilah"
2,3,"Treehouse of Horror"
2,4,"Two Cars in Every Garage and Three Eyes on Every Fish"
2,5,"Dancin' Homer"
2,6,"Dead Putting Society"
2,7,"Bart vs. Thanksgiving"
2,8,"Bart the Daredevil"
2,9,"Itchy & Scratchy & Marge"
2,10,"Bart Gets Hit by a Car"
2,11,"One Fish, Two Fish, Blowfish, Blue Fish"
2,12,"The Way We Was"
2,13,"Homer vs. Lisa and the 8th Commandment"
2,14,"Principal Charming"
2,15,"Oh Brother, Where Art Thou?"
2,16,"Bart's Dog Gets an 'F'"
2,17,"Old Money"
2,18,"Brush with Greatness"
2,19,"Lisa's Substitute"
2,20,"The War of the Simpsons"
2,21,"Three Men and a Comic Book"
2,22,"Blood Feud"
3,1,"Stark Raving Dad"
3,2,"Mr. Lisa Goes to Washington"
3,3,"When Flanders Failed"
3,4,"Bart the Murderer"
3,5,"Homer Defined"
3,6,"Like Father, Like Clown"
3,7,"Treehouse of Horror II"
3,8,"Lisa's Pony"
3,9,"Saturdays of Thunder"
3,10,"Flaming Moe's"
3,11,"Burns Verkaufen der Kraftwerk"
3,12,"I Married Marge"
3,13,"Radio Bart"
3,14,"Lisa the Greek"
3,15,"Homer Alone"
3,16,"Bart the Lover"
3,17,"Homer at the Bat"
3,18,"Separate Vocations"
3,19,"Dog of Death"
3,20,"Colonel Homer"
3,21,"Black Widower"
3,22,"The Otto Show"
3,23,"Bart's Friend Falls in Love"
3,24,"Brother, Can You Spare Two Dimes?"
4,1,"Kamp Krusty"
4,2,"A Streetcar Named Marge"
4,3,"Homer the Heretic"
4,4,"Lisa the Beauty Queen"
4,5,"Treehouse of Horror III"
4,6,"Itchy & Scratchy: The Movie"
4,7,"Marge Gets a Job"
4,8,"New Kid on the Block"
4,9,"Mr. Plow"
4,10,"Lisa's First Word"
4,11,"Homer's Triple Bypass"
4,12,"Marge vs. the Monorail"
4,13,"Selma's Choice"
4,14,"Brother from the Same Planet"
4,15,"I Love Lisa"
4,16,"Duffless"
4,17,"Last Exit to Springfield"
4,18,"So It's Come to This: A Simpsons Clip Show"
4,19,"The Front"
4,20,"Whacking Day"
4,21,"Marge in Chains"
4,22,"Krusty Gets Kancelled"
5,1,"Homer's Barbershop Quartet"
5,2,"Cape Feare"
5,3,"Homer Goes to College"
5,4,"Rosebud"
5,5,"Treehouse of Horror IV"
5,6,"Marge on the Lam"
5,7,"Bart's Inner Child"
5,8,"Boy-Scoutz 'n the Hood"
5,9,"The Last Temptation of Homer"
5,10,"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)"
5,11,"Homer the Vigilante"
5,12,"Bart Gets Famous"
5,13,"Homer and Apu"
5,14,"Lisa vs. Malibu Stacy"
5,15,"Deep Space Homer"
5,16,"Homer Loves Flanders"
5,17,"Bart Gets an Elephant"
5,18,"Burns' Heir"
5,19,"Sweet Seymour Skinner's Baadasssss Song"
5,20,"The Boy Who Knew Too Much"
5,21,"Lady Bouvier's Lover"
